step	role	source_path	file_name	file_ext	size_bytes	sha256	release_path
code	analysis_script	/mnt/h/vir/ST/20_plot_fig4D_neighborhood_benchmark.py	20_plot_fig4D_neighborhood_benchmark.py	.py	5570	32c6efb6efc5b6e9fa9a1bc558ffab05f23ff2a21fecce64629a3e2136bc1564	github_repo_skeleton/scripts/20_plot_fig4D_neighborhood_benchmark.py
code	analysis_script	/mnt/h/vir/ST/21_plot_fig4E_ablation_study.py	21_plot_fig4E_ablation_study.py	.py	3961	1f18855a3df0292d0ea78d17df6d21c1d19cbe6bf3b602b7e28b9f430470f058	github_repo_skeleton/scripts/21_plot_fig4E_ablation_study.py
code	analysis_script	/mnt/h/vir/ST/22_plot_fig4F_confusion_matrix.py	22_plot_fig4F_confusion_matrix.py	.py	2587	f4c3a86de93fdaa712412a351ef85ef575b49b417981cd5dfa62dfd85ae6e2ac	github_repo_skeleton/scripts/22_plot_fig4F_confusion_matrix.py
code	analysis_script	/mnt/h/vir/ST/23_prepare_strokeniche_ablation_inputs.py	23_prepare_strokeniche_ablation_inputs.py	.py	3756	248625f9eb3319574ff5906c9d3ea1f532d25d09a159ab202a74d7a3b6c88828	github_repo_skeleton/scripts/23_prepare_strokeniche_ablation_inputs.py
code	analysis_script	/mnt/h/vir/ST/24_run_strokeniche_ablation_variants.py	24_run_strokeniche_ablation_variants.py	.py	4879	98d9ccfdbf9dff39ecd7c0fd84378b478f09ded4fc8fc0fc263e0e24c2f57eea	github_repo_skeleton/scripts/24_run_strokeniche_ablation_variants.py
code	analysis_script	/mnt/h/vir/ST/25_collect_strokeniche_ablation_summary.py	25_collect_strokeniche_ablation_summary.py	.py	3653	790133b0a528bc099e007f46a4e19dfa1ab202311da8284e3b9ea8dfdf52e792	github_repo_skeleton/scripts/25_collect_strokeniche_ablation_summary.py
code	analysis_script	/mnt/h/vir/ST/26_audit_figure5_trajectory_sources.py	26_audit_figure5_trajectory_sources.py	.py	8124	92ed6963de1596233d9febe49dab0eaa37adaae424202c374e9ad0cf15abab2c	github_repo_skeleton/scripts/26_audit_figure5_trajectory_sources.py
code	analysis_script	/mnt/h/vir/ST/27_plot_figure5_trajectory_panels.py	27_plot_figure5_trajectory_panels.py	.py	15046	301047871f92cf743c78c5ab533cafa65afeedaa4a19b94ea8ecff36afd45702	github_repo_skeleton/scripts/27_plot_figure5_trajectory_panels.py
code	analysis_script	/mnt/h/vir/ST/28_audit_figure6_regulator_sources.py	28_audit_figure6_regulator_sources.py	.py	10201	59bad9d8deb9c0a0e08e5c8c996070c1ebbfd65b3141aa84f153abf30d5a6b67	github_repo_skeleton/scripts/28_audit_figure6_regulator_sources.py
code	analysis_script	/mnt/h/vir/ST/28_plot_extended_data_fig5_2_score_defined_states.py	28_plot_extended_data_fig5_2_score_defined_states.py	.py	16942	6ff8641cfc94b69ce83013eec2ea51da423956d771acb700089a2911023b4366	github_repo_skeleton/scripts/28_plot_extended_data_fig5_2_score_defined_states.py
